"","X","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"3236",3236,29,"services","single","high.school","no","no","no","cellular","jun","wed",6,3,1,"success",-2.9,92.963,-40.8,1.26,5076.2,"no"
"3237",3237,47,"blue-collar","single","basic.6y","unknown","no","no","cellular","may","wed",2,999,2,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no"
"3238",3238,39,"blue-collar","married","basic.6y","unknown","yes","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"3239",3239,53,"services","married","high.school","no","yes","no","telephone","may","wed",9,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
"3240",3240,45,"housemaid","married","high.school","no","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"3241",3241,46,"management","married","unknown","no","yes","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"3242",3242,56,"entrepreneur","married","university.degree","no","no","yes","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"yes"
"3243",3243,83,"retired","married","university.degree","no","yes","no","cellular","jul","tue",1,6,2,"success",-1.7,94.215,-40.3,0.835,4991.6,"yes"
"3244",3244,29,"admin.","single","university.degree","no","no","no","cellular","jun","wed",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"yes"
"3245",3245,45,"management","married","basic.9y","no","yes","no","cellular","may","thu",1,999,3,"failure",-1.8,93.876,-40,0.692,5008.7,"no"
"3246",3246,32,"technician","single","university.degree","no","yes","no","cellular","aug","tue",4,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes"
"3247",3247,49,"admin.","married","high.school","no","no","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"3248",3248,29,"technician","single","basic.9y","no","unknown","unknown","telephone","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"3249",3249,41,"technician","single","high.school","no","yes","no","cellular","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"3250",3250,30,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",9,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
"3251",3251,34,"technician","single","professional.course","no","no","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,1.483,5099.1,"no"
"3252",3252,42,"entrepreneur","married","high.school","no","no","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"3253",3253,29,"admin.","married","university.degree","no","yes","no","cellular","aug","fri",4,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"3254",3254,23,"admin.","single","university.degree","no","no","yes","cellular","apr","wed",5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"3255",3255,34,"admin.","single","university.degree","no","yes","yes","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"3256",3256,24,"admin.","single","basic.9y","no","yes","no","telephone","may","fri",6,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
"3257",3257,33,"blue-collar","married","basic.9y","unknown","yes","no","cellular","may","fri",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
"3258",3258,34,"admin.","single","university.degree","no","no","no","cellular","may","mon",5,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"no"
"3259",3259,52,"services","married","high.school","no","no","no","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
"3260",3260,45,"entrepreneur","married","basic.6y","no","no","no","telephone","jun","wed",2,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
"3261",3261,54,"blue-collar","married","basic.6y","unknown","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"yes"
"3262",3262,45,"admin.","single","university.degree","no","no","no","cellular","aug","wed",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"3263",3263,24,"admin.","single","professional.course","no","yes","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"3264",3264,38,"blue-collar","single","basic.4y","no","no","no","telephone","may","mon",6,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"3265",3265,25,"technician","single","professional.course","no","yes","no","cellular","jul","fri",3,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"3266",3266,40,"admin.","married","university.degree","no","yes","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"3267",3267,53,"blue-collar","married","high.school","no","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"3268",3268,29,"student","single","high.school","no","no","no","cellular","may","tue",1,7,1,"success",-1.8,93.876,-40,0.668,5008.7,"no"
"3269",3269,26,"technician","married","high.school","no","no","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"3270",3270,38,"technician","single","high.school","no","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"3271",3271,30,"blue-collar","married","basic.4y","unknown","yes","no","telephone","jun","fri",5,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
"3272",3272,42,"services","married","high.school","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes"
"3273",3273,31,"management","single","university.degree","no","yes","no","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
"3274",3274,33,"admin.","married","high.school","no","yes","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"3275",3275,48,"blue-collar","married","basic.9y","no","no","yes","cellular","may","tue",2,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
"3276",3276,36,"unemployed","married","basic.6y","no","yes","no","cellular","nov","thu",2,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,"no"
"3277",3277,43,"services","divorced","high.school","no","no","no","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"yes"
"3278",3278,42,"housemaid","married","university.degree","no","yes","yes","cellular","aug","thu",3,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"yes"
"3279",3279,48,"housemaid","married","basic.6y","no","yes","no","cellular","nov","wed",4,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no"
"3280",3280,28,"admin.","married","high.school","no","no","no","telephone","may","mon",5,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"3281",3281,54,"retired","married","professional.course","unknown","no","no","cellular","aug","tue",2,999,0,"nonexistent",-2.9,92.201,-31.4,0.838,5076.2,"yes"
"3282",3282,42,"blue-collar","married","basic.4y","no","yes","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"3283",3283,36,"technician","single","professional.course","no","no","no","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
"3284",3284,40,"blue-collar","married","basic.4y","unknown","no","yes","telephone","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"3285",3285,29,"admin.","married","high.school","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"3286",3286,36,"admin.","married","basic.9y","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
"3287",3287,46,"admin.","married","university.degree","unknown","no","no","telephone","aug","wed",5,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"3288",3288,61,"retired","married","high.school","no","yes","no","cellular","apr","tue",4,999,0,"nonexistent",-1.8,93.749,-34.6,0.642,5008.7,"no"
"3289",3289,38,"management","divorced","high.school","no","yes","no","telephone","nov","thu",3,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"3290",3290,33,"admin.","married","university.degree","no","yes","no","cellular","mar","wed",3,4,1,"success",-1.8,93.369,-34.8,0.655,5008.7,"yes"
"3291",3291,57,"blue-collar","married","high.school","unknown","no","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes"
"3292",3292,32,"technician","married","professional.course","no","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
"3293",3293,35,"management","married","university.degree","no","no","yes","cellular","aug","fri",5,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes"
"3294",3294,53,"blue-collar","married","basic.9y","no","no","yes","cellular","jun","thu",2,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"yes"
"3295",3295,53,"admin.","married","university.degree","no","no","yes","cellular","jun","mon",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.215,5076.2,"no"
"3296",3296,54,"retired","divorced","university.degree","no","yes","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"3297",3297,48,"services","divorced","high.school","no","no","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"3298",3298,32,"entrepreneur","single","university.degree","unknown","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"3299",3299,33,"services","divorced","high.school","no","yes","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"3300",3300,28,"unemployed","single","basic.4y","no","yes","no","cellular","oct","fri",2,4,1,"success",-3.4,92.431,-26.9,0.752,5017.5,"no"
"3301",3301,58,"technician","married","high.school","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"3302",3302,32,"student","married","high.school","no","yes","no","telephone","dec","wed",3,999,1,"failure",-3,92.713,-33,0.715,5023.5,"no"
"3303",3303,46,"services","married","unknown","no","no","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"3304",3304,27,"technician","single","professional.course","no","no","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"3305",3305,30,"technician","single","professional.course","no","no","no","cellular","aug","fri",2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"3306",3306,28,"blue-collar","single","basic.9y","unknown","no","no","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,"no"
"3307",3307,40,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","wed",4,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"3308",3308,26,"management","single","university.degree","no","no","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"3309",3309,48,"blue-collar","married","basic.6y","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"3310",3310,31,"technician","single","unknown","no","no","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
"3311",3311,56,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"3312",3312,33,"blue-collar","married","basic.9y","unknown","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"yes"
"3313",3313,42,"technician","married","professional.course","no","yes","no","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
"3314",3314,27,"blue-collar","married","basic.4y","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"3315",3315,33,"services","married","high.school","no","yes","yes","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"3316",3316,31,"entrepreneur","married","university.degree","no","yes","no","cellular","may","thu",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"3317",3317,56,"blue-collar","married","basic.4y","unknown","yes","no","cellular","dec","tue",3,6,1,"success",-3,92.713,-33,0.715,5023.5,"yes"
"3318",3318,42,"admin.","single","university.degree","no","no","no","telephone","may","wed",5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"3319",3319,62,"retired","married","high.school","no","no","no","cellular","oct","wed",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.724,5017.5,"no"
"3320",3320,27,"blue-collar","married","basic.4y","unknown","no","no","cellular","may","mon",7,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"yes"
"3321",3321,30,"student","single","university.degree","no","yes","no","cellular","may","tue",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"yes"
"3322",3322,55,"technician","married","basic.9y","unknown","no","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"no"
"3323",3323,56,"admin.","divorced","unknown","unknown","no","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"3324",3324,52,"blue-collar","married","basic.4y","no","yes","no","cellular","jul","thu",6,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
"3325",3325,35,"blue-collar","married","basic.6y","no","no","yes","cellular","jul","tue",4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"3326",3326,28,"admin.","single","university.degree","no","no","no","cellular","jul","thu",2,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"yes"
"3327",3327,46,"unemployed","divorced","basic.9y","no","no","no","telephone","jun","wed",3,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
"3328",3328,31,"admin.","single","university.degree","no","yes","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"3329",3329,30,"technician","single","university.degree","no","yes","yes","cellular","aug","thu",3,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"yes"
"3330",3330,37,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"3331",3331,60,"admin.","divorced","high.school","no","no","no","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"3332",3332,29,"services","single","high.school","no","yes","no","cellular","may","fri",1,999,2,"failure",-1.8,93.876,-40,0.695,5008.7,"no"
"3333",3333,43,"services","married","high.school","no","no","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"3334",3334,43,"technician","single","professional.course","no","no","no","cellular","aug","fri",1,999,0,"nonexistent",-2.9,92.201,-31.4,0.825,5076.2,"no"
"3335",3335,42,"unemployed","married","professional.course","no","yes","no","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"3336",3336,25,"blue-collar","single","basic.9y","no","no","no","cellular","mar","thu",2,10,2,"success",-1.8,93.369,-34.8,0.654,5008.7,"yes"
"3337",3337,47,"admin.","married","basic.6y","no","yes","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"3338",3338,24,"student","single","high.school","no","yes","yes","cellular","nov","mon",1,999,0,"nonexistent",-1.1,94.767,-50.8,1.05,4963.6,"no"
"3339",3339,64,"retired","married","basic.6y","no","yes","no","cellular","apr","thu",4,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"no"
"3340",3340,36,"admin.","single","university.degree","no","no","no","cellular","oct","wed",1,999,1,"failure",-3.4,92.431,-26.9,0.742,5017.5,"no"
"3341",3341,50,"blue-collar","married","basic.4y","no","no","no","cellular","aug","mon",2,15,1,"success",-2.9,92.201,-31.4,0.861,5076.2,"no"
"3342",3342,33,"admin.","single","university.degree","no","yes","no","cellular","may","wed",8,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
"3343",3343,58,"admin.","married","university.degree","no","yes","no","cellular","mar","mon",5,999,2,"failure",-1.8,93.369,-34.8,0.646,5008.7,"no"
"3344",3344,56,"housemaid","divorced","high.school","no","yes","no","cellular","nov","thu",6,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,"no"
"3345",3345,52,"services","married","basic.6y","no","no","yes","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"3346",3346,32,"admin.","single","university.degree","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"3347",3347,45,"admin.","married","basic.9y","no","no","no","cellular","aug","thu",5,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
"3348",3348,27,"blue-collar","married","basic.9y","no","unknown","unknown","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"3349",3349,34,"services","married","high.school","no","yes","no","cellular","may","fri",3,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
"3350",3350,45,"technician","divorced","high.school","no","yes","no","telephone","oct","tue",1,999,0,"nonexistent",-0.1,93.798,-40.4,4.86,5195.8,"yes"
"3351",3351,34,"services","married","high.school","no","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"yes"
"3352",3352,34,"unemployed","single","university.degree","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
"3353",3353,47,"technician","single","unknown","no","yes","yes","telephone","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"3354",3354,31,"services","divorced","high.school","no","yes","no","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
"3355",3355,36,"admin.","divorced","university.degree","no","no","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"3356",3356,56,"retired","divorced","university.degree","no","yes","no","cellular","apr","mon",5,9,1,"success",-1.8,93.075,-47.1,1.405,5099.1,"no"
"3357",3357,48,"technician","married","high.school","unknown","no","yes","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"3358",3358,45,"blue-collar","divorced","basic.9y","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"3359",3359,49,"housemaid","divorced","basic.4y","unknown","yes","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"3360",3360,52,"blue-collar","married","basic.9y","no","yes","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"3361",3361,42,"admin.","married","basic.6y","no","no","no","telephone","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.955,5228.1,"no"
"3362",3362,33,"admin.","married","university.degree","no","yes","yes","cellular","nov","wed",7,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
"3363",3363,31,"blue-collar","married","basic.6y","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"3364",3364,31,"technician","single","university.degree","unknown","yes","yes","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"3365",3365,35,"blue-collar","married","high.school","no","yes","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"3366",3366,51,"retired","married","university.degree","no","yes","yes","telephone","may","tue",5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"3367",3367,44,"blue-collar","married","basic.6y","no","yes","no","cellular","jul","wed",5,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"3368",3368,26,"student","single","unknown","no","yes","yes","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"3369",3369,54,"admin.","single","high.school","no","no","no","cellular","jun","wed",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"no"
"3370",3370,26,"blue-collar","single","basic.9y","no","yes","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"3371",3371,29,"blue-collar","single","high.school","unknown","unknown","unknown","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"3372",3372,37,"self-employed","married","university.degree","no","yes","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
"3373",3373,48,"blue-collar","married","basic.4y","unknown","no","no","telephone","jun","tue",5,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
"3374",3374,29,"technician","married","high.school","no","no","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"3375",3375,31,"admin.","single","basic.9y","no","no","no","cellular","jul","wed",5,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"3376",3376,41,"admin.","single","university.degree","no","yes","no","cellular","nov","wed",1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no"
"3377",3377,40,"technician","married","university.degree","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
"3378",3378,33,"entrepreneur","married","university.degree","no","yes","no","telephone","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"3379",3379,56,"technician","married","professional.course","no","no","no","telephone","oct","wed",1,999,0,"nonexistent",-0.1,93.798,-40.4,4.936,5195.8,"no"
"3380",3380,26,"blue-collar","married","high.school","no","no","no","cellular","jul","wed",3,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"3381",3381,34,"technician","married","university.degree","no","no","no","cellular","apr","fri",1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
"3382",3382,27,"blue-collar","married","high.school","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"3383",3383,40,"blue-collar","single","basic.6y","unknown","no","no","cellular","apr","fri",1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
"3384",3384,50,"blue-collar","married","basic.4y","unknown","no","yes","telephone","jun","tue",5,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
"3385",3385,41,"management","married","university.degree","no","no","yes","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"3386",3386,27,"admin.","single","high.school","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"3387",3387,34,"admin.","married","university.degree","no","no","no","cellular","nov","mon",2,999,0,"nonexistent",-1.1,94.767,-50.8,1.05,4963.6,"no"
"3388",3388,27,"admin.","single","high.school","no","no","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"3389",3389,32,"admin.","married","university.degree","no","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
"3390",3390,51,"blue-collar","married","basic.6y","no","no","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"3391",3391,34,"housemaid","married","university.degree","no","no","yes","cellular","aug","thu",2,6,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"no"
"3392",3392,29,"admin.","single","university.degree","no","yes","yes","cellular","aug","wed",5,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"3393",3393,44,"management","married","basic.9y","no","yes","no","cellular","aug","tue",4,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"3394",3394,76,"retired","married","university.degree","no","yes","no","cellular","aug","thu",1,999,1,"failure",-2.9,92.201,-31.4,0.873,5076.2,"no"
"3395",3395,29,"admin.","single","university.degree","no","no","no","telephone","jul","wed",6,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"3396",3396,35,"admin.","single","university.degree","no","no","no","telephone","may","mon",9,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"3397",3397,47,"technician","divorced","high.school","no","yes","no","cellular","jul","thu",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"3398",3398,55,"retired","married","basic.9y","unknown","no","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
"3399",3399,39,"management","single","university.degree","no","no","no","cellular","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"3400",3400,47,"technician","divorced","high.school","no","yes","no","cellular","aug","wed",5,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"3401",3401,33,"management","married","university.degree","no","yes","yes","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
"3402",3402,36,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"3403",3403,42,"blue-collar","married","basic.4y","no","yes","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no"
"3404",3404,25,"blue-collar","single","high.school","no","yes","no","cellular","may","thu",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"3405",3405,46,"services","married","high.school","unknown","no","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"3406",3406,32,"admin.","married","high.school","no","yes","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"3407",3407,36,"blue-collar","married","basic.9y","no","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
"3408",3408,26,"admin.","single","university.degree","no","no","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"3409",3409,55,"retired","divorced","basic.4y","unknown","no","no","cellular","may","wed",4,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"yes"
"3410",3410,39,"services","married","high.school","no","no","no","telephone","may","fri",6,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
"3411",3411,39,"blue-collar","married","basic.6y","no","yes","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"3412",3412,33,"blue-collar","married","high.school","unknown","no","no","cellular","may","tue",5,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
"3413",3413,21,"services","single","basic.9y","no","no","no","cellular","apr","mon",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"3414",3414,31,"blue-collar","married","basic.9y","unknown","yes","yes","telephone","may","mon",6,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"3415",3415,25,"admin.","single","university.degree","no","yes","yes","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"3416",3416,26,"blue-collar","single","high.school","no","no","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"3417",3417,28,"technician","single","university.degree","no","no","no","cellular","apr","fri",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
